Date,Amazon_Open,Amazon_High,Amazon_Low,Amazon_Close,Amazon_Adj Close,Amazon_Volume,Apple_Open,Apple_High,Apple_Low,Apple_Close,Apple_Adj Close,Apple_Volume,Facebook_Open,Facebook_High,Facebook_Low,Facebook_Close,Facebook_Adj Close,Facebook_Volume,Google_Open,Google_High,Google_Low,Google_Close,Google_Adj Close,Google_Volume,Microsoft_Open,Microsoft_High,Microsoft_Low,Microsoft_Close,Microsoft_Adj Close,Microsoft_Volume,Netflix_Open,Netflix_High,Netflix_Low,Netflix_Close,Netflix_Adj Close,Netflix_Volume,Tesla_Open,Tesla_High,Tesla_Low,Tesla_Close,Tesla_Adj Close,Tesla_Volume,Uber_Open,Uber_High,Uber_Low,Uber_Close,Uber_Adj Close,Uber_Volume,Walmart_Open,Walmart_High,Walmart_Low,Walmart_Close,Walmart_Adj Close,Walmart_Volume,Zoom_Open,Zoom_High,Zoom_Low,Zoom_Close,Zoom_Adj Close,Zoom_Volume
2019-05-24,1835.890015,1841.76001,1817.849976,1823.280029,1823.280029,3369700,45.049999,45.535,44.654999,44.7425,43.78928,94858800,182.330002,183.630005,180.830002,181.059998,181.059998,8807700,1147.359985,1149.765015,1131.660034,1133.469971,1133.469971,1112000,126.910004,127.419998,125.970001,126.239998,123.048447,14123400,355.410004,359.440002,353.790009,354.390015,354.390015,3831000,39.966,39.995998,37.75,38.125999,38.125999,70683000,41.279999,41.509998,40.5,41.509998,41.509998,8786800,102.18,102.889999,102.080002,102.669998,98.474854,4483200,80.480003,81.25,74.199997,76.25,76.25,2946800
2019-05-28,1832.75,1849.27002,1827.349976,1836.430054,1836.430054,3200000,44.73,45.147499,44.477501,44.557499,43.608223,111792800,181.539993,184.710007,181.449997,184.309998,184.309998,14843300,1134.0,1151.587036,1133.119995,1134.150024,1134.150024,1365000,126.980003,128.0,126.050003,126.160004,122.970482,23128400,354.390015,361.200012,353.649994,355.059998,355.059998,4717100,38.240002,39.0,37.57,37.740002,37.740002,51564500,41.700001,41.799999,40.599998,40.950001,40.950001,13391600,102.559998,103.57,102.400002,102.419998,98.235069,10271700,76.800003,79.389999,76.800003,77.769997,77.769997,1641300
2019-05-29,1823.119995,1830.0,1807.530029,1819.189941,1819.189941,4279000,44.105,44.837502,44.0,44.345001,43.400253,113924800,183.5,184.559998,181.350006,182.190002,182.190002,12797700,1127.52002,1129.099976,1108.219971,1116.459961,1116.459961,1538200,125.379997,125.389999,124.040001,124.940002,121.781319,22763100,353.600006,353.850006,345.899994,349.190002,349.190002,5658900,37.419998,38.478001,37.007999,37.972,37.972,59843000,40.52,40.709999,39.146999,39.939999,39.939999,14060400,102.110001,102.879997,101.470001,102.120003,97.947334,6520200,77.0,77.93,73.583,75.769997,75.769997,1512100
2019-05-30,1825.48999,1829.469971,1807.829956,1816.319946,1816.319946,3146900,44.487499,44.807499,44.1675,44.575001,43.625347,84873600,183.080002,183.479996,180.889999,183.009995,183.009995,8581500,1115.540039,1123.130005,1112.119995,1117.949951,1117.949951,951900,125.260002,125.760002,124.779999,125.730003,122.551353,16829600,350.549988,354.209991,348.299988,351.850006,351.850006,4008000,37.75,38.452,37.403999,37.644001,37.644001,39632500,40.07,40.380001,39.5,39.799999,39.799999,26451900,102.489998,103.489998,101.910004,102.190002,98.014465,5019600,76.68,80.970001,76.599998,80.419998,80.419998,1996000
2019-05-31,1790.01001,1795.589966,1772.699951,1775.069946,1775.069946,4618800,44.057499,44.497501,43.747501,43.767502,42.835045,108174400,180.279999,180.539993,177.160004,177.470001,177.470001,15226500,1101.290039,1109.599976,1100.180054,1103.630005,1103.630005,1507800,124.230003,124.620003,123.32,123.68,120.553177,26646800,347.220001,349.339996,342.920013,343.279999,343.279999,5023400,37.02,37.984001,36.82,37.032001,37.032001,52033500,41.150002,41.57,39.41,40.41,40.41,23209800,101.349998,102.019997,100.599998,101.440002,97.29512,5927500,78.769997,83.169998,77.779999,79.730003,79.730003,1594300
2019-06-03,1760.01001,1766.290039,1672.0,1692.689941,1692.689941,9098700,43.900002,44.48,42.567501,43.325001,42.401981,161584400,175.0,175.050003,161.009995,164.149994,164.149994,56059600,1065.5,1065.5,1025.0,1036.22998,1036.22998,5130600,123.849998,124.370003,119.010002,119.839996,116.810257,37983600,343.559998,347.660004,332.649994,336.630005,336.630005,7849600,37.102001,37.335999,35.397999,35.793999,35.793999,65322000,40.743999,41.849998,40.240002,41.25,41.25,16605300,101.629997,102.68,101.400002,101.959999,97.793877,6614700,80.0,81.940002,75.650002,75.900002,75.900002,1570500
2019-06-04,1699.23999,1730.819946,1680.890015,1729.560059,1729.560059,5679100,43.860001,44.9575,43.630001,44.91,43.953209,123872000,163.710007,168.279999,160.839996,167.5,167.5,46044300,1042.900024,1056.050049,1033.689941,1053.050049,1053.050049,2833500,121.279999,123.279999,120.650002,123.160004,120.046318,29382600,345.0,353.609985,343.25,353.399994,353.399994,7891600,36.220001,38.796001,35.922001,38.720001,38.720001,69037500,42.560001,42.880001,40.700001,42.75,42.75,23432100,102.610001,102.650002,101.440002,102.559998,98.369354,5964900,78.199997,78.879997,76.620003,78.739998,78.739998,1134900
2019-06-05,1749.599976,1752.0,1715.25,1738.5,1738.5,4239800,46.07,46.247501,45.285,45.634998,44.662758,119093600,167.479996,168.720001,164.630005,168.169998,168.169998,19758300,1051.540039,1053.550049,1030.48999,1042.219971,1042.219971,2168400,124.949997,125.870003,124.209999,125.830002,122.648827,24926100,354.380005,357.880005,348.709991,355.730011,355.730011,5020100,39.736,40.256001,38.369999,39.318001,39.318001,67554000,42.869999,45.66,42.5,45.0,45.0,28609600,102.75,104.779999,102.599998,104.419998,100.153351,6902900,80.139999,80.599998,76.239998,78.040001,78.040001,1295800
2019-06-06,1737.709961,1760.0,1726.130005,1754.359985,1754.359985,3689300,45.77,46.3675,45.537498,46.305,45.318489,90105200,168.300003,169.699997,167.229996,168.330002,168.330002,12446400,1044.98999,1047.48999,1033.699951,1044.339966,1044.339966,1703200,126.440002,127.970001,125.599998,127.82,124.588509,21459000,354.839996,358.209991,352.089996,357.130005,357.130005,3710000,40.888,42.200001,40.360001,41.189999,41.189999,101211000,45.0,45.75,44.279999,44.919998,44.919998,16403700,104.489998,105.660004,104.199997,105.110001,100.81517,8063700,77.400002,79.75,77.029999,79.43,79.43,3024000
2019-06-07,1763.699951,1806.25,1759.48999,1804.030029,1804.030029,4808200,46.627499,47.98,46.442501,47.537498,46.524731,122737600,170.169998,173.869995,168.839996,173.350006,173.350006,16917300,1050.630005,1070.920044,1048.400024,1066.040039,1066.040039,1802400,129.190002,132.25,128.259995,131.399994,128.077988,33885600,357.390015,365.149994,355.690002,360.869995,360.869995,4777300,41.0,42.167999,40.700001,40.900002,40.900002,80017500,44.919998,45.669998,44.130001,44.16,44.16,12654700,105.230003,106.360001,105.050003,106.059998,101.726326,6809400,93.660004,98.889999,92.5,94.050003,94.050003,9487800
2019-06-10,1822.0,1884.869995,1818.0,1860.630005,1860.630005,5371000,47.952499,48.842499,47.904999,48.145,47.119289,104883600,174.75,177.860001,173.800003,174.820007,174.820007,14767900,1072.97998,1092.660034,1072.322021,1080.380005,1080.380005,1464200,132.399994,134.080002,132.0,132.600006,129.247681,26477100,363.649994,367.100006,349.290009,352.01001,352.01001,7810300,42.049999,43.388,41.801998,42.576,42.576,52925000,44.02,44.59,42.529999,42.610001,42.610001,11618700,106.480003,107.779999,106.370003,107.519997,103.126686,6325700,98.510002,105.985001,96.0,102.0,102.0,4852800
2019-06-11,1883.25,1893.699951,1858.0,1863.699951,1863.699951,4042700,48.715,49.0,48.400002,48.702499,47.664913,107731600,178.479996,179.979996,176.789993,178.100006,178.100006,15266600,1093.97998,1101.98999,1077.603027,1078.719971,1078.719971,1436700,133.880005,134.240005,131.279999,132.100006,128.7603,23913700,355.0,357.579987,348.5,351.269989,351.269989,5396700,43.827999,44.18,42.700001,43.419998,43.419998,58267500,43.220001,43.650002,41.799999,42.450001,42.450001,9095000,108.0,108.970001,107.75,107.940002,103.529526,6747300,101.0,101.199997,91.57,94.870003,94.870003,4372400
2019-06-12,1853.97998,1865.0,1844.380005,1855.319946,1855.319946,2678300,48.487499,48.9925,48.3475,48.547501,47.513218,73012800,178.380005,179.270004,172.880005,175.039993,175.039993,17699800,1078.0,1080.930054,1067.540039,1077.030029,1077.030029,1061000,131.399994,131.970001,130.710007,131.490005,128.16571,17092500,351.820007,353.609985,343.230011,345.559998,345.559998,4584700,44.59,44.675999,41.799999,41.852001,41.852001,75987500,42.52,42.650002,41.709999,42.169998,42.169998,5965300,107.919998,108.910004,107.919998,108.82,104.373573,4635100,94.599998,104.184998,94.0,102.769997,102.769997,3156900
2019-06-13,1866.719971,1883.089966,1862.219971,1870.300049,1870.300049,2795800,48.674999,49.197498,48.400002,48.537498,47.503426,86698400,175.529999,178.029999,174.610001,177.470001,177.470001,12253600,1083.640015,1094.170044,1080.150024,1088.77002,1088.77002,1057700,131.979996,133.0,131.559998,132.320007,128.974747,17200800,347.230011,348.5,339.25,343.429993,343.429993,6209300,42.076,42.98,41.501999,42.782001,42.782001,40841500,43.049999,44.349998,42.799999,44.310001,44.310001,10178900,109.0,109.580002,108.169998,108.650002,104.21051,5485000,105.099998,105.171997,98.550003,100.949997,100.949997,3189100
2019-06-14,1864.0,1876.0,1859.0,1869.670044,1869.670044,2851200,47.887501,48.397499,47.575001,48.185001,47.15844,75046000,180.509995,181.839996,180.0,181.330002,181.330002,16773700,1086.420044,1092.689941,1080.171997,1085.349976,1085.349976,1111500,132.259995,133.789993,131.639999,132.449997,129.101456,17821700,341.630005,343.399994,336.160004,339.730011,339.730011,5019000,42.25,43.330002,42.080002,42.984001,42.984001,37167000,44.75,44.799999,43.110001,43.23,43.23,7902200,108.779999,109.589996,108.459999,109.07,104.61335,4525900,100.470001,104.57,99.25,100.290001,100.290001,1889300
2019-06-17,1876.5,1895.689941,1875.449951,1886.030029,1886.030029,2634300,48.224998,48.740002,48.0425,48.4725,47.439819,58676400,185.009995,189.5,184.410004,189.009995,189.009995,29459900,1086.280029,1099.180054,1086.280029,1092.5,1092.5,941600,132.630005,133.729996,132.529999,132.850006,129.491348,14517800,342.690002,351.769989,342.059998,350.619995,350.619995,5358200,43.096001,45.400002,42.854,45.006001,45.006001,61584000,43.279999,44.078999,42.93,43.779999,43.779999,6557600,109.120003,109.550003,108.260002,109.160004,104.699677,4147000,101.0,102.446999,97.0,98.110001,98.110001,2128500
